"AcousticSite","Year","ALL","EPTFUS_count","LASBOR_count","LASCIN_count","LASNOC_count","MYOLUC_count","MYOSEP_count","PERSUB_count","MYOLEI_count","MYOSOD_count","NYCHUM_count","CORRAF_count","ANTPAL_count","LASINT_count","TADBRA_count","Lat","Long","dist_to_water","water_size","num_nights","num_detectable_species"
"RadarF13A_Robin-Dairy1",2013,1490,44,391,372,239,299,1,91,0,0,0,0,0,0,0,43.93246,-87.7365,1282.18647034166,52823.5,27,7
"RadarF13A_Robin-Dairy2",2013,1365,32,262,119,144,672,3,91,0,0,0,0,0,0,0,43.93415,-87.7383,1449.88819190244,56693.27,18,7
"RadarF13_COLINE-3-1",2013,2793,38,326,1285,519,201,1,142,0,0,0,0,0,0,0,43.88837,-87.79148,4505.44539095378,56693.27,77,7
"RadarF13_COLINE-3-2",2013,688,37,188,95,197,99,0,43,0,0,0,0,0,0,0,43.88969,-87.79242,4609.47670633957,56693.27,74,7
"RadarF13B_Batman-Alpaca1",2013,919,50,95,229,275,114,0,31,0,0,0,0,0,0,0,43.88953,-87.85192,5369.75435626797,0.09,72,7
"RadarF13B_Batman-Alpaca2",2013,3015,15,54,231,128,84,1,33,0,0,0,0,0,0,0,43.88888,-87.85053,5491.90966862804,0.09,72,7
"HART-01A",2014,2437,221,288,394,1083,304,2,0,0,0,0,0,0,0,0,43.70782,-86.49239,498.74347741694,56693.27,58,6
"HART-01B",2014,2587,168,478,137,1187,462,5,0,0,0,0,0,0,0,0,43.70792,-86.49239,491.934422990227,56693.27,58,6
"HART-01C",2014,1350,84,119,106,841,130,0,0,0,0,0,0,0,0,0,43.70659,-86.48898,798.401898521179,56693.27,55,6
"HART-07A",2014,4830,148,48,2341,2063,31,0,0,0,0,0,0,0,0,0,43.72328,-86.43039,1832.97925257025,0.15,58,6
"HART-07B",2014,1880,87,16,1052,598,18,1,0,0,0,0,0,0,0,0,43.72367,-86.33906,1589.57684431328,0.03,58,6
"HART-07C",2014,2903,848,46,674,1098,43,3,0,0,0,0,0,0,0,0,43.72252,-86.34229,1485.52532984259,0.18,55,6
"HART-13A",2014,317,15,11,147,95,28,0,0,0,0,0,0,0,0,0,43.71855,-86.20871,561.96629208624,7.02,58,6
"HART-13B",2014,910,64,34,295,414,31,0,0,0,0,0,0,0,0,0,43.72055,-86.21137,574.622833104187,7.02,58,6
"HART-13C",2014,393,54,10,58,228,15,0,0,0,0,0,0,0,0,0,43.72014,-86.21272,483.298185418934,7.02,55,6
"HART-20A",2014,374,14,25,118,151,33,1,0,0,0,0,0,0,0,0,43.71267,-86.08881,1216.08907955944,0.68,58,6
"HART-20B",2014,1135,130,91,286,418,130,0,0,0,0,0,0,0,0,0,43.71267,-86.08974,1254.50354993162,0.68,58,6
"HART-20C",2014,723,30,36,313,207,99,0,0,0,0,0,0,0,0,0,43.71337,-86.08663,1066.06277446028,0.68,58,6
"NGLVC",2014,9031,157,1023,781,1222,4547,21,190,0,0,0,0,0,0,0,46.592332,-90.96465,705.310576940139,0.19,211,7
"NPS-LSB",2014,16164,561,0,5325,3448,5393,60,0,0,0,0,0,0,0,0,46.943639,-90.892311,261.841122597995,36994.49,138,5
"GOOSE",2014,2008,74,0,699,351,719,5,0,0,0,0,0,0,0,0,47.137739,-91.468192,533.063137128421,36994.49,90,5
